timestamp	message_type	message	data_path	data_name
35739.179611206055	check	header ok	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	instruction screens
35745.21517753601	action	loading screen 1	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	welcome_screen
35829.54502105713	action	loading screen 2	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	empty_screen
35875.40888786316	action	loading screen 3	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	fixation_screen
35957.30400085449	action	loading screen 4	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	obligatory_break_screen
36006.18600845337	action	loading screen 5	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	optional_break_screen
36101.25398635864	action	loading screen 6	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	final_screen
36148.98610115051	action	loading screen 7	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	practice_screen
36227.55002975464	action	loading screen 8	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	transition_screen
36280.48348426819	action	loading screen 9	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	informed_consent_screen
36361.679553985596	action	loading screen 10	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	instruction_screen_2
36410.093784332275	action	loading screen 11	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	instruction_screen_3
36492.63000488281	action	loading screen 12	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	instruction_screen_1
36538.47622871399	action	loading screen 15	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	subject_difficulty_screen
36883.471965789795	action	loading screen 16	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	familiarity_rating_screen_1
37264.66512680054	action	loading screen 17	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	familiarity_rating_screen_2
37626.392126083374	action	loading screen 18	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	camera_setup_screen
37705.35922050476	action	loading screen 19	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	validation_screen
37755.07736206055	action	loading screen 20	/home/badname/Licenta/wg1-experiment-implementation/experiment_implementation/data/stimuli_MultiplEYE_RO_RO_Bucharest_1_2025/multipleye_participant_instructions_RO_with_img_paths.csv	recalibration_screen
